Count,Interaction Type,Provider Type,Approx visit length (min),Type of Cancer,Distraction added to script?,Script Name,ChatGPT,Cloud
25,New Patient,Psychosocial services,60,Acute Myeloid Leukemia (AML),,25 - New Patient - Psychosocial services - Script,,
26,New Patient,Medical Onc,45,Adrenocortical Carcinoma,Talk about grandchild,,,
27,New Patient,Surgical Onc,45,Anal Cancer,,27 - New Patient - Surgical Onc - Script,,
28,New Patient,Radiation Onc,45,Appendix Cancer,,28 - New Patient - Radiation Onc - Script,,
29,Treatment Visit - continue current treatment,Medical Onc,30,Bile Duct Cancer (Cholangiocarcinoma),,29 - Treatment Visit - continue current treatment - Medical Onc - Script,,
30,Treatment Visit - continue current treatment,Surgical Onc,30,Bone Cancer,,30 - Treatment Visit - continue current treatment - Surgical Onc - Script,,
31,Treatment Visit - continue current treatment,Radiation Onc,30,Brain Cancer,,31 - Treatment Visit - continue current treatment - Radiation Onc - Script,,
32,Treatment Visit - change treatment - toxicity,Medical Onc,20,Carcinoid Tumor,,32 - Treatment Visit - change treatment - toxicity - Medical Onc - Script,,
33,Treatment Visit - change treatment - toxicity,Surgical Onc,20,Cervical Cancer,,33 - Treatment Visit - change treatment - toxicity - Surgical Onc - Script,,
34,Treatment Visit - change treatment - toxicity,Radiation Onc,20,Chronic Lymphocytic Leukemia (CLL),,34 - Treatment Visit - change treatment - toxicity - Radiation Onc - Script,,
35,Treatment Visit - change treatment - progressive disease,Medical Onc,30,Chronic Myeloid Leukemia (CML),,35 - Treatment Visit - change treatment - progressive disease - Medical Onc - Script,,
36,Treatment Visit - change treatment - progressive disease,Surgical Onc,30,Endometrial Cancer,,36 - Treatment Visit - change treatment - progressive disease - Surgical Onc - Script,,
37,Treatment Visit - change treatment - progressive disease,Radiation Onc,30,Esophageal Cancer,,37 - Treatment Visit - change treatment - progressive disease - Radiation Onc - Script,,
38,Follow up post radiation therapy - treatment complete & transition to survivorship care,Radiation Onc,20,Ewing Sarcoma,,38 - Follow up post radiation therapy - treatment complete & transition to survivorship care - Radiation Onc - Script,,
